doubling every day;doubling every two days;doubling every 4 days;doubling every 10 days;Italy;US;Spain;Germany;Korea,South;date
100.0;100.0;100.0;100.0;155.0;104.0;120.0;130.0;;0
200.0;141.4213562373095;118.9207115002721;107.17734625362931;229.0;174.0;165.0;159.0;;1
400.0;200.0;141.4213562373095;114.86983549970351;322.0;222.0;222.0;196.0;;2
800.0;282.842712474619;168.1792830507429;123.11444133449163;453.0;337.0;259.0;262.0;;3
1600.0;400.0;200.0;131.9507910772894;655.0;451.0;400.0;482.0;;4
3200.0;565.685424949238;237.8414230005442;141.4213562373095;888.0;519.0;500.0;670.0;;5
6400.0;800.0;282.842712474619;151.5716566510398;1128.0;711.0;673.0;799.0;;6
12800.0;1131.370849898476;336.3585661014858;162.4504792712471;1694.0;1109.0;1073.0;1040.0;;7
25600.0;1600.0;400.0;174.11011265922482;2036.0;1561.0;1695.0;1176.0;;8
51200.0;2262.741699796952;475.6828460010884;186.60659830736148;2502.0;2157.0;2277.0;1457.0;;9
102400.0;3200.0;565.685424949238;200.0;3089.0;2870.0;2277.0;1908.0;;10
204800.0;4525.483399593904;672.7171322029716;214.35469250725862;3858.0;2968.0;5232.0;2078.0;;11
409600.0;6400.0;800.0;229.73967099940697;4636.0;4360.0;6391.0;3675.0;;12
819200.0;9050.966799187809;951.3656920021768;246.22888266898326;5883.0;6141.0;7798.0;4585.0;;13
1638400.0;12800.0;1131.370849898476;263.9015821545788;7375.0;8917.0;9942.0;5795.0;;14
3276800.0;18101.933598375617;1345.4342644059432;282.842712474619;9172.0;14157.0;11748.0;7272.0;;15
6553600.0;25600.0;1600.0;303.14331330207966;10149.0;19479.0;13910.0;9257.0;;16
13107200.0;36203.867196751235;1902.7313840043537;324.9009585424942;12462.0;25825.0;17963.0;12327.0;;17
26214400.0;51200.0;2262.741699796952;348.22022531844965;15113.0;33761.0;20410.0;15320.0;;18
52428800.0;72407.73439350247;2690.8685288118863;373.21319661472296;17660.0;43850.0;25374.0;19848.0;;19
104857600.0;102400.0;3200.0;400.0;21157.0;54112.0;28768.0;22213.0;;20
209715200.0;144815.46878700494;3805.4627680087074;428.70938501451724;24747.0;66055.0;35136.0;24873.0;;21
419430400.0;204800.0;4525.483399593904;459.47934199881405;27980.0;84091.0;39885.0;29056.0;;22
838860800.0;289630.9375740099;5381.737057623773;492.4577653379664;31506.0;102276.0;49515.0;32986.0;;23
1677721600.0;409600.0;6400.0;527.8031643091576;35713.0;122069.0;57786.0;37323.0;;24
3355443200.0;579261.8751480198;7610.925536017415;565.685424949238;41035.0;141205.0;65719.0;43938.0;;25
6710886400.0;819200.0;9050.966799187809;606.2866266041593;47021.0;162707.0;73235.0;50871.0;;26
13421772800.0;1158523.7502960395;10763.474115247545;649.8019170849884;53578.0;188724.0;80110.0;57695.0;;27
26843545600.0;1638400.0;12800.0;696.4404506368992;59138.0;214205.0;87956.0;62095.0;;28
53687091200.0;2317047.500592079;15221.85107203483;746.4263932294459;63927.0;244610.0;95923.0;66885.0;;29
107374182400.0;3276800.0;18101.933598375617;800.0;69176.0;276547.0;104118.0;71808.0;;30
214748364800.0;4634095.001184158;21526.94823049509;857.4187700290345;74386.0;309699.0;112065.0;77872.0;;31
429496729600.0;6553600.0;25600.0;918.9586839976281;80589.0;337573.0;119199.0;84794.0;;32
858993459200.0;9268190.002368316;30443.70214406966;984.9155306759328;86498.0;367215.0;126168.0;91159.0;;33
1717986918400.0;13107200.0;36203.867196751235;1055.6063286183153;92472.0;397992.0;131646.0;96092.0;;34
3435973836800.0;18536380.004736632;43053.89646099018;1131.370849898476;97689.0;429686.0;136675.0;100123.0;;35
6871947673600.0;26214400.0;51200.0;1212.5732532083186;101739.0;464442.0;141942.0;103374.0;;36
13743895347200.0;37072760.009473264;60887.40428813932;1299.6038341699768;105792.0;497943.0;148220.0;107663.0;;37
27487790694400.0;52428800.0;72407.73439350247;1392.8809012737984;110574.0;527969.0;153222.0;113296.0;;38
54975581388800.0;74145520.01894653;86107.79292198036;1492.8527864588918;115242.0;556522.0;158273.0;118181.0;;39
109951162777600.0;104857600.0;102400.0;1600.0;119827.0;581813.0;163027.0;122171.0;;40
219902325555200.0;148291040.03789306;121774.80857627864;1714.8375400580687;124632.0;608878.0;166831.0;124908.0;;41
439804651110400.0;209715200.0;144815.46878700494;1837.9173679952562;128948.0;637974.0;170099.0;127854.0;;42
879609302220800.0;296582080.0757861;172215.58584396073;1969.8310613518656;132547.0;669272.0;172541.0;130072.0;;43
1759218604441600.0;419430400.0;204800.0;2111.2126572366315;135586.0;701996.0;177644.0;131359.0;;44
3518437208883200.0;593164160.1515722;243549.61715255727;2262.741699796952;139422.0;730337.0;184948.0;134753.0;;45
7036874417766400.0;838860800.0;289630.9375740099;2425.1465064166364;143626.0;756375.0;190839.0;137698.0;;46
1.40737488355328e+16;1186328320.3031445;344431.17168792145;2599.2076683399537;147577.0;783716.0;191726.0;141397.0;;47
2.81474976710656e+16;1677721600.0;409600.0;2785.7618025475967;152271.0;809318.0;198674.0;143342.0;;48
5.62949953421312e+16;2372656640.606289;487099.23430511454;2985.7055729177846;156363.0;837422.0;200210.0;145184.0;;49
1.125899906842624e+17;3355443200.0;579261.8751480198;3200.0;159516.0;871617.0;204178.0;147065.0;;50
2.251799813685248e+17;4745313281.212578;688862.3433758429;3429.6750801161375;162488.0;907908.0;208389.0;148291.0;;51
4.503599627370496e+17;6710886400.0;819200.0;3675.8347359905124;165155.0;940829.0;213024.0;150648.0;;52
9.007199254740992e+17;9490626562.425156;974198.4686102291;3939.6621227037313;168941.0;968518.0;202990.0;153129.0;;53
1.8014398509481984e+18;13421772800.0;1158523.7502960395;4222.425314473263;172434.0;990983.0;205905.0;154999.0;;54
3.602879701896397e+18;18981253124.85031;1377724.6867516858;4525.483399593904;175925.0;1015518.0;207634.0;156513.0;;55
7.205759403792794e+18;26843545600.0;1638400.0;4850.293012833273;178972.0;1043038.0;209465.0;157770.0;;56
1.4411518807585587e+19;37962506249.70062;1948396.9372204582;5198.415336679907;181228.0;1072667.0;210773.0;158758.0;;57
2.8823037615171174e+19;53687091200.0;2317047.500592079;5571.5236050951935;183957.0;1106829.0;212917.0;159912.0;;58
5.764607523034235e+19;75925012499.40125;2755449.3735033716;5971.411145835569;187327.0;1136024.0;213435.0;161539.0;;59
1.152921504606847e+20;107374182400.0;3276800.0;6400.0;189973.0;1161611.0;215216.0;163009.0;;60
2.305843009213694e+20;151850024998.8025;3896793.8744409163;6859.350160232275;192994.0;1184086.0;216582.0;164077.0;;61
4.611686018427388e+20;214748364800.0;4634095.001184158;7351.669471981025;195351.0;1208271.0;217466.0;164967.0;;62
9.223372036854776e+20;303700049997.605;5510898.747006743;7879.3242454074625;197675.0;1233527.0;218011.0;165664.0;;63
1.8446744073709552e+21;429496729600.0;6553600.0;8444.850628946526;199414.0;1261409.0;219329.0;166152.0;;64
3.6893488147419103e+21;607400099995.21;7793587.748881833;9050.966799187809;201505.0;1288587.0;220325.0;167007.0;;65
7.378697629483821e+21;858993459200.0;9268190.002368316;9700.586025666546;203591.0;1314320.0;221447.0;168162.0;;66
1.4757395258967641e+22;1214800199990.42;11021797.494013486;10396.830673359815;205463.0;1334084.0;222857.0;169430.0;;67
2.9514790517935283e+22;1717986918400.0;13107200.0;11143.047210190387;207428.0;1352962.0;223578.0;170588.0;;68
5.9029581035870565e+22;2429600399980.84;15587175.497763665;11942.822291671138;209328.0;1375152.0;224350.0;171324.0;;69
1.1805916207174113e+23;3435973836800.0;18536380.004736632;12800.0;210717.0;1396110.0;227436.0;171879.0;;70
2.3611832414348226e+23;4859200799961.68;22043594.988026973;13718.70032046455;211938.0;1423727.0;228030.0;172576.0;;71
4.722366482869645e+23;6871947673600.0;26214400.0;14703.33894396205;213013.0;1449027.0;228691.0;173171.0;;72
9.44473296573929e+23;9718401599923.36;31174350.99552733;15758.648490814925;214457.0;1474128.0;229540.0;174098.0;;73
1.888946593147858e+24;13743895347200.0;37072760.009473264;16889.70125789305;215858.0;1493132.0;230183.0;174478.0;;74
3.777893186295716e+24;19436803199846.72;44087189.976053946;18101.933598375617;217185.0;1514901.0;230698.0;175233.0;;75
7.555786372591432e+24;27487790694400.0;52428800.0;19401.17205133309;218268.0;1535350.0;230698.0;175752.0;;76
1.5111572745182865e+25;38873606399693.44;62348701.99105466;20793.66134671963;219070.0;1559157.0;231606.0;176369.0;;77
3.022314549036573e+25;54975581388800.0;74145520.01894653;22286.094420380774;219814.0;1584512.0;232037.0;176551.0;;78
6.044629098073146e+25;77747212799386.88;88174379.95210789;23885.644583342277;221216.0;1608653.0;232555.0;177778.0;;79
1.2089258196146292e+26;109951162777600.0;104857600.0;25600.0;222104.0;1630476.0;233037.0;178473.0;;80
2.4178516392292583e+26;155494425598773.75;124697403.98210932;27437.4006409291;223096.0;1651289.0;234824.0;179021.0;;81
4.835703278458517e+26;219902325555200.0;148291040.03789306;29406.67788792408;223885.0;1670280.0;235290.0;179710.0;;82
